h,POROSITY,K,k/uob,Sw,T,API,PI,Bp,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,Type,REC
10.6,0.32,98,188.46,0.45,190,41,2130,2130,200,10.65,0.52,0.52,0.79,0.355,540,540,75,1.284,1.284,1.112,893,3,344
13,0.153,460,115,0.26,138,25,1825,1825,100,10.25,4,4,5,0.555,270,270,18,1.129,1.129,1.04,1620,3,655
13,0.065,21,8.54,0.328,98,36,1950,1041,100,10.41,2.75,2.75,4,1.043,254,254,80,1.125,1.125,1.06,709,3,87
50,0.139,5,3.73,0.25,98,32,1865,1865,200,9.33,1.34,1.34,3.3,0.917,500,500,130,1.245,1.245,1.1,303,3,36
23.5,0.198,28.2,28.78,0.248,136,35.2,3040,2060,100,20.6,1.1,1.1,2,0.653,603,603,110,1.319,1.319,1.19,612,3,93
19,0.203,268,412.31,0.504,125,42,1700,900,170,5.29,0.75,0.75,0.92,0.576,270,270,50,1.15,1.15,1.06,663,3,206
16,0.15,33,22.45,0.435,97,36,2385,2285,100,22.85,1.47,1.47,4,0.997,441,441,30,1.178,1.178,1.1,755,3,82
50,0.354,29,13.3,0.32,95,29,1300,752,200,3.76,2.26,2.26,2.65,0.793,380,380,100,1.26,1.28,1.19,620,3,233
120,0.35,1620,4500,0.19,128,14,1040,750,370,2.03,0.42,0.42,0.28,0.601,86,86,30,1.034,1.034,1.05,2146,3,298
270,0.32,700,66.67,0.27,149,18.3,1409,1300,210,6.19,11,11,21.8,0.487,185,185,80,1.105,1.105,1.04,1786,3,425
300,0.28,445,404.55,0.29,166,29,1650,1307,230,5.68,1.2,1.2,1,0.423,300,300,30,1.14,1.14,1.11,1590,3,424
101,0.26,125,46.3,0.43,199,22,2151,1900,100,10,2.7,2.7,3.7,0.328,320,320,10,1.2,1.2,1.03,958,3,110
107,0.24,100,47.62,0.47,233,27.4,2700,2700,1000,27,2.1,2.1,12,0.264,480,480,90,1.3,1.3,1.045,759,3,100
30,0.08,0.1,0.2,0.35,135,37,2675,2675,800,3.34,0.51,0.51,0.91,0.65,817,817,362,1.454,1.454,1.252,277,3,16
11,0.17,45.6,15.2,0.4,76,45,950,950,50,19,3,3,5,0.994,420,420,100,1.2,1.2,1.05,659,3,132
25,0.172,6.7,7.36,0.45,75,48,900,900,50,18,0.91,0.91,1.27,1.25,575,575,80,1.23,1.23,1.08,597,3,100
38,0.158,7.5,2.5,0.35,90,42,1500,1500,50,30,3,3,4.5,0.921,1000,1000,50,1.45,1.45,1.03,542,3,186
24,0.18,63,52.5,0.3,119,38,1365,1365,100,13.65,1.2,1.2,4,0.785,350,350,100,1.25,1.25,1.04,782,3,141
43,0.168,100,35.71,0.28,118,40,1200,1200,50,24,2.8,2.8,3,0.797,390,390,50,1.2,1.2,1.05,794,3,193
28,0.14,35,70,0.4,127,44.4,2060,2060,100,20,0.5,0.5,3,0.732,860,860,100,1.471,1.471,1.04,443,3,103
60.7,0.148,61,20.33,0.29,132,41,1980,1004,200,5.02,2,2,4.5,0.612,320,320,170,1.26,1.26,1.13,647,3,159
21.7,0.15,35,31.82,0.25,158,38,2025,2025,200,10.13,1.1,1.1,6.5,0.438,450,450,100,1.84,1.84,1.02,703,3,78
61,0.069,5.3,15.14,0.35,124,43.1,3071,2200,300,7.33,0.3,0.3,0.84,0.762,1415,1415,400,1.8,1.8,1.3,189,3,28
60,0.073,4.3,14.33,0.38,130,44,3157,2300,450,5.11,0.34,0.34,0.7,0.582,1500,1500,450,1.298,1.298,1.35,204,3,153
18,0.179,10.6,11.52,0.38,103,40,2560,2090,400,5.23,0.96,0.96,1.75,0.799,615,615,200,1.369,1.369,1.15,683,3,80
31,0.158,3.4,6.8,0.38,123,39,2885,1940,500,3.68,0.55,0.55,1.25,0.93,710,710,325,1.07,1.07,1.225,675,3,148
15,0.15,157.4,52.47,0.25,82,30.5,740,740,300,2.47,3,3,3.7,0.921,275,275,125,1.53,1.53,1.05,802,3,245
23,0.18,250,217.39,0.37,83,42,750,732,75,9.76,1.15,1.15,1.67,0.962,303,303,90,1.09,1.09,1.07,686,3,140
13,0.15,68,22.67,0.37,80,37,750,750,250,3,3,3,3.8,0.941,190,190,100,1.09,1.09,1.05,688,3,129
15.5,0.153,68,22.67,0.252,82,37,7230,750,300,2.5,0.52,0.52,3.7,0.267,196,196,125,1.487,1.487,1.06,472,3,141
28,0.128,79,225.71,0.276,225,40,4700,2692,1000,2.69,0.4,0.4,0.55,0.346,859,859,400,1.09,1.09,1.35,678,3,165
15,0.115,20.6,58.86,0.175,186,36,3755,500,300,1.67,1.12,1.12,0.6,0.416,100,100,50,1.274,1.274,1.02,1540,3,613
110.6,0.305,650,580.36,0.17,174,29,3620,3755,1000,3.76,1.5,1.5,2.13,0.422,570,570,155,1.272,1.272,1.123,1464,3,908
25,0.32,300,200,0.25,172,27,9030,4808,2000,1.81,0.1,0.1,2.1,0.243,500,500,300,2.401,2.401,1.145,469,3,214
17.4,0.22,10,142.66,0.34,270,49,1259,518,4808,1,1.73,1.73,0.07,0.363,2741,2741,2741,1.096,1.096,2.75,1067,3,250
9.6,0.196,269,165,0.23,178,34,1556,1556,45,11.51,0.82,0.82,2.03,0.6,92,92,18,1.216,1.216,1.071,1395,3,460
4.5,0.31,1070,1304.88,0.3,135,40,1470,1470,125,12.45,0.76,0.76,1.62,0.6,446,446,117,1.224,1.224,1.07,1300,3,437
17,0.27,250,328,0.24,135,41,4904,3771,100,14.7,0.24,0.24,1.85,0.304,450,450,220,1.82,1.82,1.08,380,3,190
14,0.228,91,364,0.6,251,41,3145,635,800,4.71,3.27,3.27,0.4,0.359,1335,1335,29,1.116,1.116,1.27,1401,3,77
28,0.224,300,110.7,0.2,206,26.8,1815,1815,133,4.77,1.27,1.27,3.67,0.35,103,103,359,1.166,1.166,1.083,1140,3,98
26,0.213,200,181.82,0.15,210,32.8,3115,3123,1600,1.13,0.54,0.54,1.16,0.318,353,353,172,1.565,1.565,1.27,328,3,137
234,0.11,15,30,0.4,200,37,3925,1558,485,6.44,0.5,0.5,1.09,0.73,909,909,172,1.346,1.346,1.083,537,3,230
17.5,0.143,21.5,44.79,0.35,131,40,1720,1480,50,31.16,0.55,0.55,1.2,0.792,550,550,100,1.372,1.372,1.225,854,3,127
13.1,0.136,57,103.64,0.28,122,39.9,1480,1915,50,29.6,0.58,0.58,1.2,0.71,635,635,100,1.45,1.45,1.222,715,3,96
19,0.192,417,718.07,0.3,134,40,1915,1400,50,38.3,1.17,1.17,1.5,0.859,810,810,90,1.295,1.295,1.163,517,3,137
19,0.125,15,12.93,0.308,118,42,1673,1501,100,14,0.7,0.7,1.44,0.617,533,533,135,1.272,1.272,1.12,440,3,230
10,0.085,3,3.19,0.287,135,40,3300,2830,100,15.01,0.44,0.44,1.3,0.723,453,453,410,1.656,1.656,1.16,601,3,127
70,0.172,2.2,42.5,0.276,122,44.8,4011,1733,510,5.55,0.46,0.46,0.82,0.46,1270,1270,400,1.495,1.495,1.06,386,3,96
46,0.12,17,48.78,0.36,165,37.8,3925,2164,500,3.47,0.54,0.54,0.56,0.301,867,867,231,1.405,1.405,1.09,579,3,100
40,0.14,20,105.65,0.25,229,35,1230,1230,480,4.51,1.6,1.6,0.87,0.591,631,631,35,1.18,1.18,1.276,1175,3,82
50,0.28,90,56.88,0.35,135,28,1285,1285,50,24.6,3.08,3.08,3.18,0.502,298,298,29,1.123,1.123,1.328,1480,3,100
420,0.3,91,62.66,0.27,144,43,2855,2855,140,9.18,0.29,0.29,5.1,0.335,213,213,200,1.5,1.5,1.255,497,3,410
16,0.2,193,86.21,0.52,202,30,3640,3640,500,5.71,1.17,1.17,0.53,0.361,825,825,110,1.24,1.24,1.075,700,3,250
26,0.19,25,63.25,0.39,200,39,3640,1605,800,4.55,0.8,0.8,2,0.643,460,460,135,1.343,1.343,1.059,740,3,115
17,0.164,74,5.11,0.22,124,34,1935,1100,100,16.05,1.6,1.6,1.76,0.864,565,565,40,1.173,1.173,1.21,474,3,113
130,0.093,4.6,6.09,0.177,94,42,1800,1383,100,11,0.78,0.78,2.7,1.06,360,360,300,1.26,1.26,1.15,790,3,91
28,0.233,10,63.64,0.449,83,30.7,1412,1490,350,3.95,1.65,1.65,1.3,0.814,575,575,75,1.21,1.21,1.167,942,3,33
14,0.148,60,153.33,0.35,200,40,1490,500,100,14.9,1,1,6.5,0.312,400,400,50,1.25,1.25,1.05,600,3,94
24,0.23,138,226.4,0.25,166,39,1300,251,50,10,1.36,1.36,1.3,0.401,300,300,31,1.057,1.057,1.15,869,3,212
10,0.18,283,178.57,0.29,200,27.5,1328,689,100,2.51,0.89,0.89,1.31,0.318,44,44,95,1.27,1.27,1.167,876,3,120
182,0.178,150,30.35,0.195,110,27,1190,1190,100,6.89,5.7,5.7,1.04,0.825,258,258,12,1.115,1.115,1.143,942,3,200
70,0.159,173,4.04,0.172,137,33,1460,1383,50,23.8,11.05,11.05,16.2,0.638,210,210,23,1.1,1.1,1.072,903,3,180
26,0.142,43.8,100.78,0.15,174,38,2082,775,100,13.83,1.29,1.29,12.35,0.374,216,216,80,1.171,1.171,1.15,780,3,100
35,0.138,130,13.26,0.365,122,36,1670,1670,70,11.07,0.85,0.85,2.3,0.595,212,212,100,1.23,1.23,1.065,576,3,133
28,0.154,12.6,8.96,0.213,160,36,2113,2113,100,16.7,2.1,2.1,3,0.43,450,450,50,1.186,1.186,1.18,641,3,40
64.5,0.2,21.5,65,0.3,112,37,750,750,200,10.57,1,1,4.7,0.672,430,430,16,1.21,1.21,1.02,1008,3,321
80,0.15,65,22.14,0.308,110,39,600,600,10,75,1.4,1.4,3.5,0.677,330,330,30,1.14,1.14,1.03,714,3,184
12,0.18,31,77.78,0.45,170,43,2082,1085,20,30,0.45,0.45,2.3,0.401,240,240,300,1.537,1.537,1.04,507,3,86
10,0.175,24,63.16,0.4,170,40,2000,1550,300,6.65,0.39,0.39,0.9,0.4,710,710,320,1.47,1.47,1.275,532,3,125
8,0.29,249,383.08,0.2,227,35,4804,3665,300,5.17,0.72,0.72,0.53,0.301,690,690,165,1.325,1.325,1.3,1400,3,270
17,0.22,326,857.89,0.2,226,40.5,5896,2000,1000,3.67,0.45,0.45,1.09,0.303,575,575,575,1.35,1.35,1.152,1015,3,334
9.1,0.145,160,177.78,0.245,127,40.2,2254,1732,2700,0.74,1,1,0.4,0.756,685,685,32,1.347,1.347,1.4,839,3,189
16,0.3,175,3.87,0.44,76,22,700,700,50,34.64,45.7,45.7,46.5,1.121,78,78,54,1.038,1.038,1.043,1250,3,137
8,0.108,30,32.61,0.1,150,30,3885,1869,400,1.75,1.06,1.06,1.54,0.464,498,498,175,1.263,1.263,1.032,600,3,36
45,0.15,3,11.11,0.12,130,43,3155,3155,400,4.67,0.27,0.27,0.87,0.552,1249,1249,273,1.68,1.68,1.154,608,3,49
12,0.112,440,427.18,0.3,124,41,1120,1120,400,7.89,1.03,1.03,1.35,0.617,412,412,225,1.245,1.245,1.228,480,3,83
29,0.234,65,191.18,0.59,248,39,4837,2150,600,2.8,0.45,0.45,0.57,0.318,555,555,172,1.337,1.337,1.167,564,3,138
24.3,0.267,4.3,9.56,0.6,126,45,1510,1510,200,3.58,0.45,0.45,0.8,0.595,447,447,200,1.232,1.232,1.228,674,3,87
22,0.2,500,1250,0.23,220,33,8350,6000,2550,2.26,0.46,0.46,0.72,0.305,1155,1155,330,1.551,1.551,1.29,1117,3,256
34,0.172,289,284.55,0.165,143,31.6,2715,1100,2500,1.09,3.25,2.8,3.2,0.645,254,254,254,1.256,1.229,1.253,896,4,272
6,0.269,243,322.24,0.3,210,41,3720,3690,1485,2.51,0.46,0.47,0.61,0.316,842,842,304,1.457,1.453,1.192,1007,4,277
23,0.131,76.4,67.45,0.23,252,35.8,2774,262,1600,1.73,1.28,1.02,1.13,0.239,0,60,0,1.111,1.137,1.123,715,4,214
6,0.168,200,160.7,0.35,117,33.6,1400,80,730,1.92,4.3,4,4.1,0.628,10,10,0,1.02,0,0,955,4,508
12,0.25,2000,189.19,0.3,182,38,4280,3180,3900,1.1,0.74,0.58,0.7,0.439,719,719,719,1.28,1.37,1.3,998,4,550
47,0.321,200,208.45,0.25,144,20.6,1799,1739,1500,1.18,6.2,6.2,6.4,0.609,193,193,178,1.101,1.25,1.1,1800,4,1171
59,0.28,1860,1981.12,0.28,191,21,4950,3280,3000,1.65,2.15,2.11,2.29,0.357,472,472,387,1.226,1.226,1.589,1251,4,546
25,0.3,1000,1309.52,0.2,180,35,4335,4395,3630,1.13,0.42,0.42,0.55,0.448,940,940,884,1.48,1.48,1.5,1275,4,1050
16,0.27,144,155.37,0.23,172,25,3754,3754,3400,1.1,1.14,1.14,1.23,0.465,565,565,504,1.262,1.262,1.243,1278,4,1100
60,0.3,25.8,34.08,0.25,178,31.3,4002,4092,2900,1.41,0.81,0.81,1.07,0.409,844,844,448,1.205,1.205,1.222,1348,4,723
58,0.282,250,365.08,0.178,210,32.5,4610,4010,2500,1.84,0.83,0.83,0.92,0.342,760,760,418,1.149,1.149,1.234,1289,4,866
48,0.23,2150,2128.5,0.1,169,27,3529,3048,3350,1.05,2,1.94,1.98,0.504,418,418,418,1.36,1.36,1.207,1333,4,750
16,0.309,210,273,0.3,134,30,1538,1538,10000,1.54,1,1,1.3,0.607,300,300,150,1.6,1.6,1.087,1459,4,30
6,0.3,100,109,0.45,188,36,4282,3500,3000,1.42,0.55,0.5,0.6,0.402,750,750,640,1.36,1.36,1.33,909,4,750
18,0.25,200,210,0.25,192,37,4385,4250,4000,1.09,0.4,0.4,0.42,0.397,900,900,850,1.6,1.6,1.5,900,4,718
28,0.28,400,372,0.3,200,38.5,4815,3850,3800,1.21,0.43,0.4,0.4,0.37,755,755,755,1.38,1.38,1.39,1100,4,540
24,0.3,200,200,0.4,220,28,10920,7500,10000,1.09,0.7,0.4,0.7,0.342,1200,1200,1200,1.51,1.51,1.52,924,4,488
22,0.25,50,50,0.5,260,25.5,12800,9920,99999,1.28,0.4,0.3,0.4,0.287,1470,1470,1470,1.59,1.59,1.6,610,4,342
25,0.139,169.7,148.49,0.384,251,48,5680,5075,5350,1.06,0.08,0.07,0.07,0.359,2719.8,2719.8,2719,2.615,2.615,2.627,242,4,158
82,0.324,1668,2502,0.37,178,33,2891,2497,1950,1.38,0.8,0.8,1.2,0.455,518,518,462,1.287,1.287,1.3,1250,4,472
12,0.29,2000,2344.83,0.29,190,38,3850,2884,1800,2.03,0.58,0.42,0.68,0.462,6280,6280,592,1.385,1.385,1.3,1153,4,779
71,0.2,370,303.59,0.224,252,38,5000,3100,2000,2.5,0.39,0.24,0.32,0.237,894,894,0,1.52,1.52,1.38,1300,4,268
151,0.228,250,372.88,0.17,190,35,2450,2480,750,3.27,0.59,0.58,0.88,0.349,670,670,215,1.44,1.44,1.15,1035,4,510
112,0.154,66,135.74,0.4,230,30,4080,4015,1000,4.08,0.53,0.53,1.09,0.257,735,735,160,1.413,1.413,1.128,508,4,189
16,0.31,474,484.38,0.33,180,35.8,2890,887,800,4.48,1.37,1.35,1.4,0.357,210,210,145,1.15,1.15,1.15,1401,4,475
98,0.32,300,342.66,0.3,206,38.6,4915,4860,4200,1.17,0.28,0.26,0.32,0.369,1194,1194,1080,1.623,1.623,1.53,1071,4,493
27,0.2,190,197.6,0.26,165,39.3,3283,2800,2350,1.39,0.5,1.48,0.52,0.519,701,701,566,1.35,1.35,1.3,828,4,530
85,0.3,2000,2461.54,0.162,190,34.1,4309,3020,2500,1.72,0.65,0.6,0.8,0.429,825,825,525,1.95,1.95,1.25,1445,4,840
79,0.25,395,556.09,0.25,128,27.3,1750,1750,300,5.83,1.79,1.79,2.52,0.634,400,400,300,1.216,1.216,1.05,1198,4,530
14.5,0.164,390,342.86,0.306,208,45,3425,1110,220,15.57,0.91,0.73,0.8,0.431,288,288,130,1.248,1.248,1.14,708,4,260
8.4,0.324,2360,2231.27,0.25,134,27.1,2585,1000,2000,1.29,4.95,4.18,4.08,0.884,640,640,840,1.06,1.06,1.07,1398,4,650
11,0.34,400,426.57,0.25,169,29,2750,2750,2600,1.06,1.4,1.4,1.5,0.482,4500,4500,420,1.19,1.19,1.05,1858,4,950
31,0.299,434,453.73,0.23,173,36,3485,3485,2800.9,1.24,0.44,0.44,0.46,0.405,750,750,850,1.37,1.37,1.3,1045,4,811
35,0.295,454,567.5,0.43,177,38,3500,3500,1800,1.94,0.48,0.48,0.6,0.3381,880,880,720,1.4,1.4,1.2,1032,4,892
8,0.31,795,939.55,0.53,163,35,3500,3500,2000,1.75,0.44,0.44,0.52,0.44,880,880,750,1.16,1.16,1.25,1537,4,500
41,0.328,1200,1527.27,0.25,155,36,1800,1800,800,2.25,1.1,1.1,1.1,0.472,394,394,0,1.2,1.2,1.144,1592,4,77
20,0.34,583,664.39,0.24,149,25,235,2325,1900,1.22,2.3,2.3,2.7,0.507,200,200,260,1.18,1.18,1.13,1700,4,750
60,0.3,1000,1027.78,0.3,135,25,1980.1,1960,1850,1.06,3.6,3.6,3.7,0.559,251,251,240,1.1,1.1,1.09,1500,4,950
18.4,0.32,1200,2000,0.25,184,40,2400,2490,1800,1.58,0.36,0.4,0.6,0.388,600,600,400,1.344,1.344,1.25,1222,4,907
46,0.26,2200,2200,0.11,147,21,1985,80,1600,1.92,22.5,22.5,22.5,0.472,11,11,11,1.02,1.02,1.02,1800,4,600
600,0.275,3000,3000,0.13,168,24,1985,1985,1750,1.13,4,4,4,0.392,370,370,0,1.223,1.223,1.121,1530,4,990
9,0.29,1000,1098.59,0.21,178,34.8,3225,225,2600,1.24,0.71,0.71,0.78,0.478,585,585,432,1.91,1.91,1.179,1335,4,750
13,0.222,475,712.5,0.248,131,38,1115,1115,600,1.86,1,1,1.5,0.543,358,0,0,1.2,1.2,0,1028,4,365
121,0.147,193,162.93,0.118,105,22.1,1585,800,651,0.41,11.5,10.8,11,0.715,162,162,133,1.092,1.092,1.175,867,4,158
33,0.159,140,103.16,0.112,112,21.1,1565,750,700,2.24,19,13.8,14,0.884,128,128,120,1.088,1.088,1.089,948,4,166
80,0.2,584,817.16,0.45,105,35,2000,2000,200,10,2.5,2.5,3.5,0.897,400,400,50,1.12,1.12,1.051,762,4,125
17,0.19,58,56,0.35,123,36,1701,750,100,17,3.5,3.5,3.5,0.598,117,117,50,1.08,1.08,1.03,872,4,135
46,0.125,23,48,0.3,123,22,1950,1900,100,1014,10,9,0.5,0.5,450,450,50,1.22,1.22,0.11,558,4,480
48,0.17,168,156.26,0.29,214,52,4070,477,3560,1.14,0.43,0.32,0.4,0.316,139,139,140,1.177,1.177,1.22,796,4,350
45,0.18,170,170,0.25,125,38,2800,3000,2000,1.4,3,3,0.3,0.58,3000,3000,501,12,12,1.1,875,4,350
63,0.146,7,4.57,0.31,225,80,3638,575,3100,1.17,0.23,0.14,0.15,0.208,141,141,140,1.207,1.207,1.22,646,4,122
6,0.35,847,1482.25,0.31,104,19,720,720,600,1.2,16,16,28,0.7,80,0,0,1.04,1.04,1,1801,4,992
18,0.32,600,2000,0.4,105,20,650,650,50,13,15,15,50,0.723,250,0,0,1.1,1.1,1,1350,4,870
14,0.32,450,531.82,0.28,209,40,3853,2107,1000,3.65,0.44,0.38,0.52,0.305,525,525,276,1.923,1.923,1.24,1351,4,602
10,0.34,850,1983.33,0.4,98,20,550,500,100,5.5,15,15,35,0.786,225,225,50,1.08,1.08,1.02,1493,4,300
9,0.29,164,191.85,0.34,158,29,2325,2325,1000,2.33,1.08,1.06,1.24,0.457,340,340,149,1.21,1.21,1.14,1257,4,500
16,0.31,349,370.81,0.4,174,42,2658,2658,2300,1.18,0.8,0.8,0.85,0.404,500,500,450,1.35,1.35,1.3,1089,4,375
11,0.302,634,675.8,0.31,171,32,2687,2667,1900,1.4,0.91,0.91,0.97,0.41,578,578,405,1.4,1.4,1.31,1155,4,760
47.5,0.319,1000,1136.36,0.33,160,24.7,2364,2364,1650,1.43,1.32,1.32,1.5,0.404,325,325,325,1.16,1.16,1.128,1429,4,840
35,0.35,600,2100,0.3,85,20,500,500,70,7.14,10,10,35,0.91,600,600,100,1.12,1.12,1.05,1897,4,696
23,0.298,200,248.48,0.35,178,40.5,2705,2795,1900,1.47,0.33,0.33,0.41,0.39,676,676,469,1.395,1.395,1.311,1077,4,700
32,0.285,1000,1142.86,0.3,105,26,8500,850,100,8.5,17.5,17.5,21,0.727,200,200,50,1.07,1.07,1.01,1446,4,670
16,0.35,5000,5454.55,0.35,179,42,2709,2680,2000,1.4,44,0.45,0.48,0.406,737,737,517,1.391,1.391,1.318,1257,4,733
42,0.11,39,46.09,0.26,130,460,3020,1678,1000,9.02,0.33,0.28,0.39,0.595,1046,1046,750,1.591,1.591,1.48,395,4,174
50,0.277,500,526.32,0.225,164,33,2021,0,200,10.11,3.8,0,4,0.502,100,100,0,1.15,1.15,1.05,1433,4,884
27,0.258,572,0,0.2,159,45,1875,0,1550,1.08,0.55,0,0,0.482,403,403,0,170,170,0,1315,4,679
31,0.232,285,293.64,0.3,220,39,2805,2580,2700,1.06,0.33,0.35,0.34,0.305,720,720,100,1.4,1.4,1.12,900,4,302
16,0.279,440,593.49,0.25,222,41.8,4500,2000,700,8.43,0.43,0.34,0.58,0.286,500,500,95,180,180,1.13,1258,4,561
23.1,0.32,1458,1574.64,0.3,202,35,3788,3788,2900,1.31,50,0.5,0.54,0.32,785,785,200,1.46,1.46,1.17,1190,4,857
10,0.3,600,240,0.35,164,40,2493,1200,300,8.31,2.5,1.1,1,0.503,195,195,175,1.15,1.15,1.05,1440,4,666
20,0.13,12,9.27,0.43,188,38,3730,380,250,14.92,2.2,1.8,1.7,0.34,84,84,60,1.09,1.12,1.09,527,4,150
280,0.245,500,576.19,0.43,135,26,1753,1753,1100,1.59,4.2,4.2,4.84,0.544,354,354,258,1.187,1.187,1.152,913,4,280
98,0.31,400,486.38,0.19,168,32,3515,3515,2000,1.76,0.68,0.88,1.07,0.432,571,571,315,1.28,1.28,1.18,1522,4,648
19,0.31,300,300,0.2,162,30,3300,2743,2800,1.18,1.4,1.4,1.4,0.466,417,417,417,1,1,1,1603,4,1052
42,0.33,300,380.67,0.22,168,32,3400,3400,2000,1.7,0.89,0.89,1.07,0.433,582,582,344,1.285,1.285,1.195,1548,4,1109
24,0.31,300,407.89,0.24,168,24,3721,3721,2000,1.86,2.28,2.28,3.1,0.453,410,410,235,1.193,1.193,1.131,1504,4,780
18,0.31,300,485.71,0.27,158,27,3334,3334,1400,2.38,2.1,2.1,3.4,0.481,0,0,0,1.19,1.19,1.11,1475,4,823
35,0.32,1000,1000,0.1,175,37,3550,3550,3400,1.04,0.6,0.6,0.8,0.489,700,700,670,1.33,1.33,1.33,1880,4,1370
23,0.3101,300,350,0.31,1167,29,3849,36490,2000,1.82,1.2,1.2,1.4,0.474,819,819,411,1.24,1.24,1.141,1338,4,803
24,0.33,1000,1000,0.146,150,42,4300,4300,4300,1,0.17,0.17,0.17,0.415,1580,1580,1580,1.832,1.832,1.832,1202,4,902
389,0.249,2000,2133.33,0.07,246,33,8830,6630,6200,1.07,0.15,0.15,0.16,0.345,1320,1320,1140,1.631,1.631,1.55,1099,4,723
36,0.32,1000,1000,0.1,158,91,3100,1700,3100,1,0.5,0.5,0.5,0.504,230,230,230,1.14,1.14,1.141,1980,4,1470
94,0.285,500,500,0.1,205,92,5100,3020,4000,1.04,0.6,0.6,0.8,0.377,700,700,700,1.38,1.38,1.832,1432,4,1085
18,0.223,100,188.42,0.18,267,55,7643,59750,3200,2.39,0.19,0.19,0.32,0.31,1350,1350,895,1.74,1.74,1.31,815,4,445
30.3,0.3,800,800,0.38,140,23,1650,480,1500,1.1,24,24,24,0.551,759,759,75,1.05,1.05,1.05,1441,4,144
200,244,408,858.8,0.299,183,40,2928,2928,500,5.86,0.3,0.3,0.83,0.359,830,830,170,1.48,1.48,1.12,889,4,259
38,0.29,4000,4000,0.25,165,32,3255,3255,3000,1.09,0.8,0.8,0.8,0.484,651,651,651,1.285,1.285,1.85,1348,4,822
40,0.224,401,574.77,0.218,188,44,2744,2744,300,9.15,30,30,0.43,0.347,958,958,255,1.5118,1.5118,1.215,889,4,173
21.2,0.198,880,1129.18,0.435,118,41.6,1414,1383,1000,14.14,0.83,0.83,1.42,0.788,485,485,133,1.26,1.26,1.12,695,4,187
13.2,0.221,648,1108.83,0.42,118,41,1414,1383,100,14.14,0.83,0.83,1.42,0.792,485,485,153,1.26,1.26,1.112,730,4,125
240,0.294,2597,3165.09,0.17,135,35,1230,1230,50,1.64,1.6,1.6,1.95,0.501,298,298,200,1.18,1.18,1.14,1810,4,1370
28,0.33,2486,3018.71,0.25,144,24,1080,1980,1600,1.24,7,7,8.5,0.542,265,265,200,1.12,1.12,1.1,1714,4,950
28,0.289,1682,2204,0.2,172,39,2695,2695,2000,1.35,0.29,0.29,0.38,0.431,690,690,490,1.98,1.98,1.295,1308,4,742
27,0.288,1667,2083.9,0.37,180,30,2885,2885,2400,1.2,0.21,0.21,0.26,0.409,825,825,675,1.46,1.46,1.395,984,4,617
35,0.298,972,999.77,0.226,214,37,3895,3695,3400,1.09,0.35,0.35,0.38,0.293,842,842,782,1.502,1.502,1.48,1190,4,774
39,0.252,2098,2031.75,0.141,140,39,1820,755,1190,1.38,0.95,0.95,0.92,0.519,385,385,385,1.22,1.22,1.24,1368,4,1094
336,0.31,900,900,0.195,160,31.6,2740,2740,2740,1,0.75,0.75,0.75,0.497,420,420,420,1.205,1.205,1.205,1864,4,1039
151,0.31,1095,1357.8,0.244,170,31.6,2740,2740,2000,1.37,0.75,0.75,0.93,0.458,485,485,343,1.229,1.229,1.82,1479,4,805
13,0.3,2700,3115.38,0.3,157,45.7,2350,2350,1900,1.24,0.28,0.28,0.3,0.516,1030,1030,800,1.555,1.555,1.435,1048,4,385
12,0.25,1000,1120,0.3,171,46,2850,2850,2300,1.35,0.25,0.25,0.28,0.463,1170,1170,990,1.895,1.895,1.547,632,4,333
215,0.33,870,1285.45,0.28,115,24.5,1150,1150,500,2.3,5.5,5.5,8,0.728,225,225,115,1.13,1.13,1.05,1631,4,827
285,0.34,2600,4680,0.15,105,20.1,1300,1300,500,2.6,25,25,45,0.812,146,146,50,1.088,1.088,1.046,2062,4,1367
81,0.155,100,100,0.1,85,24,1030,50,1030,1,35,35,35,0.894,15,15,15,1.015,1.015,1.015,1070,4,584
20.7,0.169,297,297,0.131,100,33.7,1616,45,100,18.16,3.8,3.8,3.6,0.752,2,2,2,1.02,1.02,1.02,1114,4,461
180,0.15,106,104.11,0.1,125,25,1121,292,5000,1.12,11.2,11.2,11,0.577,51,51,51,1.048,1.048,1.05,1000,4,335
73,0.248,638,6313,0.25,81,14,210,50,200,1.05,900,900,900,0.942,30,30,30,1.01,1.01,1.01,1449,4,115
38,0.2,195,18720,0.26,150,35,1862,810,500,9.32,2.5,2.5,2.4,0.466,180,180,130,1.13,1.13,1.12,1012,4,497
33,0.1,114,161.5,0.28,140,34,1300,1300,800,2.17,1.2,1.2,1.7,0.503,480,480,220,1.25,1.25,1.14,857,4,300
35,0.23,410,518.67,0.27,134,27,2486,100,500,4.97,8.3,8.3,10.5,0.543,50,50,50,1.05,1.05,1.055,930,4,298
112,0.135,85,85,0.1,146,21.6,3124,0,500,8.25,26,26,26,0.474,0,0,0,1.04,1.04,1.04,905,4,401
91,0.127,90,78,0.2,175,27,2230,44,800,3.72,8,8,5.2,6.379,0,0,0,1.05,1.05,1.04,750,4,400
90,0.2,400,320.41,0.17,85,35,1267,84,500,2.53,3.4,3.4,2.8,0.894,4,4,4,0.99,0.99,1.003,1595,4,904
