h,POROSITY,K,k/uob,Sw,T,API,PI,Bp,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,Type,REC
65,0.094,8.4,0.227,0.18,110,30,2890,2190,400,5.48,0.6,0.6,1.15,0.781,903,903,287,1.39,30,1.191,530,1,84
70,0.067,5,0.26,0.405,114,31,2237,1003,100,10.03,1.63,1.63,2.9,0.782,259,259,54,1.15,31,1.06,269,1,52
7.5,0.22,432,15,0.18,171,41,1972,80,60,1.33,1.47,1.47,1.5,0.397,14,14,14,1.055,41,1.06,1180,1,187
80,0.117,2.5,3.185,0.405,108,35,1690,1690,150,11.27,1.86,1.86,3,0.864,422,422,97,1.209,35,1.014,550,1,88
23,0.5,5,288.933,0.25,184,28,5020,3239,350,9.25,0.25,0.25,0.4,0.464,1510,1510,130,1.84,28,1.13,160,1,54
75,0.11,8,1.344,0.235,108,32.5,1710,1710,100,17.1,1.38,1.38,3.2,0.842,460,460,40,1.228,32.5,1.064,450,1,67
25,0.134,7,27.778,0.24,100,48,1535,1505,100,15.05,3.2,3.2,6.2,0.933,300,300,40,1.13,48,1.04,580,1,62
70,0.2,5,1.742,0.18,120,32,3214,2449,100,24.49,3.3,3.3,11.2,0.704,1170,1170,210,1.595,32,1.15,471,1,80
150,0.09,8,1.333,0.37,94,31,1765,1740,100,17.4,0.5,1.5,4.5,0.883,537,537,50,1.239,31,1.05,437,1,70
97,0.056,7,1.31,0.3,120,28,4722,1140,100,11.4,2.1,2.1,2.58,0.737,278,278,76,1.15,28,1.83,159,1,28
30,0.088,5.4,0.169,0.23,100,32.5,14,250,100,2.5,7.2,5.9,6.7,0.809,200,200,100,1.078,32.5,1.05,354,1,27
67,0.12,2,0.852,0.423,116,29,3000,117,35,3.34,7.14,5.87,6.8,0.686,62,62,20,1.052,29,1.043,380,1,44
11,0.12,1,47.619,0.431,156,47,2160,2155,500,4.31,0.31,0.21,0.52,0.574,1441,1441,150,1.798,47,1.2,425,1,81
10,0.072,5,26.429,0.4,115,42,2912,1375,50,27.5,1,1,3,0.743,420,420,30,1.2,42,1,595,1,119
25.5,0.104,10,6.275,0.0095,104,30,2748,1540,400,3.85,3,2.55,4.7,0.769,377,377,150,1.14,30,1.07,625,1,78
57,0.104,26.6,29.429,0.35,120,45,1800,2170,500,4.34,0.35,0.35,0.65,0.615,918,918,380,1.525,45,1.275,345,1,68
35,0.084,16,2,0.502,182,39,3183,2235,1000,2.24,0.27,0.5,0.46,0.473,850,850,330,1.615,39,1.32,172,1,32
12,0.058,10.3,11.333,0.29,190,38,1645,2912,1000,2.01,0.45,0.45,4,0.331,800,800,220,1.48,38,1.2,312,1,49
30,0.072,1,22.414,0.41,172,40,2912,2612,300,8.71,0.2,0.2,0.65,0.508,1236,1236,300,1.75,40,1.31,170,1,32
56,0.062,6.5,19.167,0.25,114,36,2748,1280,180,7.11,1.89,1.89,3.2,0.862,600,600,600,1.26,36,1.06,324,1,51
31,0.073,16.1,15.909,0.1,195,42,1800,1370,400,3.43,0.52,0.52,0.62,0.435,555,555,300,1.368,42,1.281,356,1,45
33,0.057,7,52.326,0.27,190,37,3183,1260,400,3.15,1.1,1.1,1.05,0.447,400,400,242,1.284,37,1.245,343,1,41
47,0.09,45,6.289,0.36,142,30,3820,1645,400,4.11,1.59,1.59,2.17,0.538,352,352,180,1.217,30,1.158,232,1,19
35,0.159,10,212.5,0.29,243,39,6775,2460,750,3.28,0.44,0.44,0.55,0.393,939,939,404,1.589,39,1.408,340,1,94
44,0.115,6,61.538,0.15,249,39,4743,4432,1000,4.43,0.13,0.13,0.25,0.383,2002,2002,580,2.287,39,1.545,560,1,123
83,0.115,56,107.682,0.25,225,33,6030,1893,3000,0.63,0.69,0.69,0.57,0.402,604,604,550,1.396,33,1.44,520,1,80
20,0.146,34,351.667,0.25,90,40,755,725,50,14.5,1.2,1.2,3.5,0.995,300,300,30,1.145,40,1,708,1,344
11.3,0.106,34,25.429,0.292,92,39,755,725,50,14.5,1.4,1.4,3.5,0.973,300,300,30,1.145,39,1,503,1,163
173,0.167,880,1913.04,0.3,212,38.8,3510,3510,2000,1.76,0.46,0.46,0.54,0.457,1052,1052,680,1.593,1.593,1.424,569,2,304
36,0.11,602,957.73,0.2,150,47,2968,2138,2462,1.21,0.33,0,0,0.525,1180,0,0,1.707,0,0,380,2,209
195,0.021,363,562.65,0.24,210,50,5630,2485,1900,2.96,0.22,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,85,2,29
153,0.026,32,47.44,0.24,210,51,5709,2458,1900,3,0.23,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,108,2,31
35,0.057,22.8,3.51,0.244,142,35.9,4938,172,4900,1.01,3.33,2.19,3.3,0.512,30,30,30,1.04,1.04,1.04,320,2,127
15,0.183,67,8.75,0.203,204,26.3,5292,590,4000,1.32,3.04,2,2.75,0.397,173,0,0,1.125,0,0,883,2,336
33,0.11,9,1..75,0.39,128,49.2,2075,885,1850,1.12,0.54,0.49,0.53,0.645,409,409,409,1.303,1.285,1.3,400,2,177
59,0.202,68,5.07,0.215,110,22.5,1520,750,700,2.17,9.1,8.2,8.1,0.687,162,162,144,1.082,1.088,1.083,1085,2,398
84,0.13,6.3,0.28,0.12,117,22.2,1690,690,450,3.76,14,15.6,14.2,0.625,119,119,99,1.057,1.062,1.054,840,2,121
35,0.195,39,0.98,0.25,108,20.9,1520,800,700,2.17,27.5,24.5,25.5,0.693,138,138,122,1.074,1.077,1.072,1023,2,174
119,0.135,5.9,0.05,0.109,120,18.6,1650,145,450,3.67,77,58,62,0.606,33,33,33,1.035,1.045,1.042,1302,2,102
68,0.052,8,10.38,0.24,170,45,4609,2400,2800,1.65,0.4,0.34,0.35,0.519,780,780,780,1.49,1.52,1.51,206,2,54
100,0.06,141,47.88,0.2,155,38,4625,525,4000,1.16,1.39,0.94,1.32,0.472,122,120,120,1.074,1.12,1.09,344,2,185
150,0.05,5,4.93,0.35,160,45,4295,1395,200,21.48,0.58,0.49,0.5,0.572,600,600,600,1.3,1.36,1.32,194,2,147
44,0.105,226,141.85,0.2,86,40,815,615,100,8.15,1.7,1.5,5,1.087,200,200,100,1.11,1.11,1.035,587,2,244
130,0.038,42,35.79,0.3,132,44,3485,1105,1300,2.68,0.67,0.56,0.58,0.571,600,600,600,1.325,1.355,1.352,155,2,102
0,0.025,100,67.16,0.1,150,43.9,4087,1460,1000,4.07,0.74,0.62,0.63,0.497,548,548,530,1.309,1.347,1.3,134,2,56
300,0.025,1000,817.57,0.1,124,43.9,3271,970,1000,3.27,0.74,0.6,0.61,0.605,590,610,590,1.325,1.34,1.3,132,2,53
40,0.06,41,34.52,0.2,187,45,5350,1140,100,53.5,0.43,0.38,0.87,0.362,667,667,667,1.411,1.478,1.4,264,2,106
20,0.025,20,12.4,0.15,216,46,6030,1554,4500,1.34,0.55,0.36,0.48,0.341,501,490,490,1.259,1.405,1.4,128,2,64
69,0.165,1100,1272.86,0.3,207,39,3106,3108,300,1.35,0.29,0.28,0.3,0.324,953,953,250,1.55,1.55,1.04,57,2,168
15,0.145,1.5,1.37,0.45,80,34,355,215,200,1.78,1.5,1,1.8,1.369,600,600,0,1.2,1.25,1.2,494,2,296
44,0.124,84,112.38,0.177,160,42.5,3410,1990,2600,1.31,0.37,0.33,0.34,0.495,906,906,906,1.499,1.522,1.512,528,2,228
200,0.02,18.6,14.27,0.3,160,47.8,4585,1258,2500,1.83,0.61,0.47,0.5,0.468,409,409,375,1.223,1.257,1.235,88,2,35
128,0.083,200,305.26,0.213,139,43.5,3162,2016,1521,2.08,0.38,0.33,0.37,0.58,1266,1266,985,1.76,1.72,1.64,397,2,215
250,0.058,8.9,8.05,0.22,124,44,3560,800,2400,1.48,0.95,0.8,0.89,0.648,335,335,335,1.157,1.19,1.171,250,2,59
187,0.036,13.8,13.65,0.33,139,43,4295,1492,1500,2.96,0.57,0.49,0.49,0.564,500,500,500,1.252,1.299,1.299,100,2,44
101,0.101,50,60.85,0.22,140,43.6,3650,2022,2500,1.46,0.41,0.37,0.39,0.499,989,898,989,1.547,1.581,1.564,394,2,203
280,0.018,50,37.71,0,132,42,4600,1573,2500,1.84,0.85,0.6,0.68,0.641,525,525,525,1.25,1.3,1.29,112,2,50
92,0.073,300,242,0.14,132,36,1875,1875,400,4.69,0.9,0.9,1.43,0.726,489,489,218,1.28,1.284,1.177,402,2,161
427,0.097,700,659.84,0.7,166,38,2205,2052,1900,1.16,0.61,0.6,0.62,0.575,695,695,658,1.409,1.412,1.395,520,2,382
173,0.167,880,1913.04,0.3,212,38.8,3510,3510,2000,1.76,0.46,0.46,0.54,0.457,1052,1052,680,1.593,1.593,1.424,569,2,304
36,0.11,602,957.73,0.2,150,47,2968,2138,2462,1.21,0.33,0,0,0.525,1180,0,0,1.707,0,0,380,2,209
195,0.021,363,562.65,0.24,210,50,5630,2485,1900,2.96,0.22,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,85,2,29
153,0.026,32,47.44,0.24,210,51,5709,2458,1900,3,0.23,0.17,0.2,0.341,900,900,680,1.432,1.523,1.4,108,2,31
35,0.057,22.8,3.51,0.244,142,35.9,4938,172,4900,1.01,3.33,2.19,3.3,0.512,30,30,30,1.04,1.04,1.04,320,2,127
15,0.183,67,8.75,0.203,204,26.3,5292,590,4000,1.32,3.04,2,2.75,0.397,173,0,0,1.125,0,0,883,2,336
33,0.11,9,1..75,0.39,128,49.2,2075,885,1850,1.12,0.54,0.49,0.53,0.645,409,409,409,1.303,1.285,1.3,400,2,177
59,0.202,68,5.07,0.215,110,22.5,1520,750,700,2.17,9.1,8.2,8.1,0.687,162,162,144,1.082,1.088,1.083,1085,2,398
84,0.13,6.3,0.28,0.12,117,22.2,1690,690,450,3.76,14,15.6,14.2,0.625,119,119,99,1.057,1.062,1.054,840,2,121
35,0.195,39,0.98,0.25,108,20.9,1520,800,700,2.17,27.5,24.5,25.5,0.693,138,138,122,1.074,1.077,1.072,1023,2,174
119,0.135,5.9,0.05,0.109,120,18.6,1650,145,450,3.67,77,58,62,0.606,33,33,33,1.035,1.045,1.042,1302,2,102
68,0.052,8,10.38,0.24,170,45,4609,2400,2800,1.65,0.4,0.34,0.35,0.519,780,780,780,1.49,1.52,1.51,206,2,54
100,0.06,141,47.88,0.2,155,38,4625,525,4000,1.16,1.39,0.94,1.32,0.472,122,120,120,1.074,1.12,1.09,344,2,185
150,0.05,5,4.93,0.35,160,45,4295,1395,200,21.48,0.58,0.49,0.5,0.572,600,600,600,1.3,1.36,1.32,194,2,147
44,0.105,226,141.85,0.2,86,40,815,615,100,8.15,1.7,1.5,5,1.087,200,200,100,1.11,1.11,1.035,587,2,244
130,0.038,42,35.79,0.3,132,44,3485,1105,1300,2.68,0.67,0.56,0.58,0.571,600,600,600,1.325,1.355,1.352,155,2,102
0,0.025,100,67.16,0.1,150,43.9,4087,1460,1000,4.07,0.74,0.62,0.63,0.497,548,548,530,1.309,1.347,1.3,134,2,56
300,0.025,1000,817.57,0.1,124,43.9,3271,970,1000,3.27,0.74,0.6,0.61,0.605,590,610,590,1.325,1.34,1.3,132,2,53
40,0.06,41,34.52,0.2,187,45,5350,1140,100,53.5,0.43,0.38,0.87,0.362,667,667,667,1.411,1.478,1.4,264,2,106
20,0.025,20,12.4,0.15,216,46,6030,1554,4500,1.34,0.55,0.36,0.48,0.341,501,490,490,1.259,1.405,1.4,128,2,64
69,0.165,1100,1272.86,0.3,207,39,3106,3108,300,1.35,0.29,0.28,0.3,0.324,953,953,250,1.55,1.55,1.04,57,2,168
15,0.145,1.5,1.37,0.45,80,34,355,215,200,1.78,1.5,1,1.8,1.369,600,600,0,1.2,1.25,1.2,494,2,296
44,0.124,84,112.38,0.177,160,42.5,3410,1990,2600,1.31,0.37,0.33,0.34,0.495,906,906,906,1.499,1.522,1.512,528,2,228
200,0.02,18.6,14.27,0.3,160,47.8,4585,1258,2500,1.83,0.61,0.47,0.5,0.468,409,409,375,1.223,1.257,1.235,88,2,35
128,0.083,200,305.26,0.213,139,43.5,3162,2016,1521,2.08,0.38,0.33,0.37,0.58,1266,1266,985,1.76,1.72,1.64,397,2,215
250,0.058,8.9,8.05,0.22,124,44,3560,800,2400,1.48,0.95,0.8,0.89,0.648,335,335,335,1.157,1.19,1.171,250,2,59
187,0.036,13.8,13.65,0.33,139,43,4295,1492,1500,2.96,0.57,0.49,0.49,0.564,500,500,500,1.252,1.299,1.299,100,2,44
101,0.101,50,60.85,0.22,140,43.6,3650,2022,2500,1.46,0.41,0.37,0.39,0.499,989,898,989,1.547,1.581,1.564,394,2,203
280,0.018,50,37.71,0,132,42,4600,1573,2500,1.84,0.85,0.6,0.68,0.641,525,525,525,1.25,1.3,1.29,112,2,50
92,0.073,300,242,0.14,132,36,1875,1875,400,4.69,0.9,0.9,1.43,0.726,489,489,218,1.28,1.284,1.177,402,2,161
427,0.097,700,659.84,0.7,166,38,2205,2052,1900,1.16,0.61,0.6,0.62,0.575,695,695,658,1.409,1.412,1.395,520,2,382
8,0.203,42.3,56.4,0.308,85,43.5,630,600,50,12,0.75,0.75,1.25,0.988,407,407,100,1.243,1.243,1.06,839,3,150
10,0.2,59,28.23,0.441,92,34,1513,1513,100,15.13,2.09,2.09,4.9,0.992,375,375,67,1.18,1.18,1.063,735,3,147
17.9,0.126,45,68.18,0.15,134,40,3050,2050,386,7.9,0.66,0.66,1.18,0.528,790,790,168,1.643,1.643,1.21,535,3,79
8,0.285,312,1040,0.28,205,40,3630,3490,315,11.08,0.3,0.3,0.76,0.299,830,815,98,1.464,1.425,1.142,1107,3,330
13,0.195,166,212.82,0.3,178,38.6,1300,715,120,5.96,0.81,0.81,1,0.367,235,235,150,1.178,1.185,1.127,922,3,138
10,0.131,328,404.94,0.207,188,36.6,1334,7770,100,7.7,0.87,0.87,1.2,0.341,220,220,78,1.178,1.184,1.138,1018,3,211
10.2,0.198,1.7,4.15,0.351,133,44,2000,1986,300,6.62,0.4,0.4,0.87,0.611,830,830,289,1.498,1.498,1.251,440,3,58
14,0.316,58,98.31,0.39,84,48.5,1140,1100,200,5.5,0.59,0.59,0.98,0.012,474,474,162,1.235,1.235,1.11,758,3,144
45,0.214,950,2021.28,0.26,188,34,4850,4225,1700,2.49,0.49,0.49,0.82,0.332,752,752,396,1.388,1.397,1.212,1287,3,190
300,0.35,83.4,92.67,0.37,185,33,2600,2600,150,17.33,0.9,0.9,2.4,0.355,550,550,30,1.3,1.3,1.07,798,3,174
426,0.14,752,10.03,0.2,100,18.7,570,570,25,22.8,75,75,150,0.785,90,90,5,1.05,1.05,1.01,2067,3,452
378,0.138,600,10,0.21,120,22.2,550,550,25,22,35,60,60,0.636,80,80,5,1.05,1.05,1.01,1830,3,644
245,0.265,8.7,32.22,0.35,255,29,4350,4208,1000,4.21,0.27,0.27,0.62,0.224,965,805,160,1.79,1.76,1.32,440,3,55
360,0.3,1077,179.5,0.305,160,22,1750,1750,100,17.5,6,6,16,0.434,250,250,10,1.15,1.15,1.03,1215,3,563
71,0.19,388,16.87,0.42,127,20.3,950,950,100,9.5,23,23,45,0.571,140,140,20,1.08,1.08,1.03,1250,3,274
40,0.115,70,205.88,0.33,225,37,3525,3525,600,5.88,0.34,0.34,0.7,0.277,660,860,160,1.51,1.51,1.16,606,3,120
103,0.33,40,90.91,0.2,205,30,4000,3550,1000,3.55,0.53,0.53,0.9,0.316,750,750,225,1.46,1.5,1.22,489,3,98
130,0.28,1300,213.82,0.225,132,18.9,1230,1065,100,10.55,6.2,6.2,10.5,0.538,129,128,15,1.076,1.077,1.04,1937,3,287
15,0.237,2970,1060.71,0.213,138,34,1308,168,75,2.24,2.9,2.9,2.6,0.588,52,52,22,1.045,1.072,1.02,1637,3,297
8,0.263,726,14.82,0.3,155,19,1690,700,75,9.33,57,49,90,0.472,75,75,10,1.08,1.09,1.02,1192,3,314
10.8,0.121,390,4.88,0.31,160,16,1900,500,75,6.67,92,80,125,0.452,75,75,13,1.08,1.07,1.035,1328,3,224
30,0.136,229,1347.06,0,199,46,4617,4500,500,9.18,0.16,0.17,0.58,0.413,2180,2170,250,2.15,2.135,1.2,398,3,102
62,0.135,66.8,107.74,0.135,148,38.8,3050,3050,200,15.25,0.62,0.62,1.55,0.58,745,745,108,1.384,1.384,1.12,659,3,107
27,0.126,14.2,12.01,0.135,148,38,2815,2500,200,12.5,1.07,1.1,2.26,0.58,530,490,65,1.29,1.29,1.108,702,3,100
35,0.134,10.8,45,0.282,140,43,3302,3302,200,16.51,0.24,0.24,0.92,0.635,1419,1419,75,1.802,1.802,1.197,389,3,84
14.3,0.224,61,160.53,0.287,216,49,3523,1682,220,7.65,0.46,0.38,0.79,0.416,577,577,130,1.415,1.415,1.196,523,3,137
1100,0.234,160,123.08,0.3,160,30,2800,2800,100,28,1.3,1.3,3.3,0.438,570,570,125,1.315,1.315,1.05,930,3,229
33.7,0.19,273,593.48,0.265,215,34,5702,5702,1500,3.8,0.46,0.46,0.92,0.32,1002,1002,265,1.51,1.51,1.134,883,3,209
30,0.13,100,40,0.27,79,39,639,639,50,12.78,2.5,2.5,4,1.114,187,187,25,1.08,1.08,1.02,985,3,226
24.6,0.2,56,130.23,0.24,144,43.6,2859,2859,50,57.18,0.43,0.43,0.85,0.583,1340,1340,280,1.72,1.72,1.3,453,3,69
50,0.15,2.7,5.09,0.4,101,42,2635,1755,300,5.85,0.55,0.53,0.7,0.79,820,820,388,1.398,1.398,1.238,600,3,90
9,0.226,96.2,60.13,0.38,92,33,1570,1315,200,6.58,1.65,1.6,4,0.906,368,368,201,1.21,1.21,1.114,648,3,80
30,0.231,150,535.71,0.39,216,38.6,4050,4050,1000,4.05,0.28,0.28,0.53,0.295,810,810,200,1.414,1.414,1.12,854,3,208
23,0.23,375,1209.68,0.31,173,42.2,2557,2557,800,3.2,0.31,0.31,0.44,0.389,618,618,190,1.337,1.337,1.15,925,3,277
22,0.264,610,2259.26,0.25,178,41.7,2650,2650,600,4.42,0.27,0.27,0.51,0.375,625,625,105,1.368,1.368,1.138,978,3,289
26,0.226,100,322.58,0.32,181,42.3,2767,2767,6000,4.61,0.31,0.31,0.47,0.366,632,632,103,1.359,1.359,1.12,1025,3,226
12,0.265,535,1725.81,0.298,180,42.7,2725,2725,1600,1.7,0.31,0.31,0.44,0.369,600,600,292,1.388,1.388,1.248,925,3,231
18,0.2,170,607.14,0.298,180,42.3,2644,2644,800,3.31,0.28,0.28,0.49,0.369,682,682,682,1.362,1.362,1.157,1060,3,254
13.2,0.206,123,512.5,0.3,191,42.3,3010,3010,500,6.02,0.24,0.24,0.46,0.347,850,850,128,1.458,1.458,1.142,757,3,168
30,0.21,15,5,0.195,125,25,1780,1780,1000,1.78,3,3,3,0.583,305,305,305,1.133,1.133,1.133,1135,3,361
376,0.176,30,75,0.35,220,34,4000,3600,1900,1.89,0.37,0.4,0.51,0.286,990,990,480,1.38,1.33,1.185,779,3,180
21,0.67,216,308.57,0.208,133,40,1529,1308,100,13.08,0.66,0.7,3.11,0.59,467,467,100,1.336,1.38,1.154,810,3,148
7,0.165,75,178.57,0.23,181,45,7566,6635,1000,6.64,0.5,0.42,0.97,0.362,2385,2385,380,2.01,1.336,1.34,498,3,69
75,0.174,15.3,85,0.235,185,43,7565,5780,1000,5.78,0.21,0.18,0.73,0.35,3000,3000,340,2.53,2.01,1.28,386,3,65
31,0.178,44.8,11.2,0.3,122,30,1600,1600,200,8,4,4,13,0.692,270,270,80,1.14,2.53,1.01,829,3,79
55,0.191,57,71.25,0.3,110,39,1500,1500,500,3,0.8,0.8,2.4,0.755,480,480,80,1.245,1.14,1.01,798,3,112
119,0.125,154.2,30.84,0.245,100,33.4,1700,1700,50,34,5,5,7,0.898,420,420,0,1.22,1.245,1,917,3,159
47,0.116,58,73.42,0.15,155,38,3000,2660,500,5.32,0.82,0.49,1.82,0.53,520,520,130,1.26,1.22,1.12,655,3,100
53,0.158,10.9,13.8,0.15,155,37,3000,2660,400,6.65,0.82,0.49,1.94,0.53,520,520,108,1.26,1.26,1.114,606,3,49
36.8,0.116,56,39.72,0.361,146,40,1678,678,100,6.78,1.41,1.41,3,0.665,456,456,75,1.303,1.26,1.147,599,3,94
24.1,0.14,2.9,7.44,0.383,158,42,2816,2816,600,4.6,0.39,0.39,1,0.503,990,980,443,1.48,1.303,1.267,375,3,98
7,120,49,16.33,0.25,160,36,3250,600,150,4,2.7,2.7,3,0.419,100,100,70,1.17,1.48,1.05,696,3,163
12,0.13,19,6.33,0.3,160,36,3250,600,150,4,2.7,2.7,3,0.419,100,100,70,1.17,1.17,1.1,592,3,133
28,0.13,56,14,0.16,205,24,3400,750,65,8.82,4.5,4.5,4,0.347,50,50,25,1.084,1.084,1,762,3,60
23,0.116,5,3.13,0.45,156,35,2200,460,100,4.62,1.4,1.4,2.5,0.45,90,70,10,1.088,1.088,1.105,510,3,79
37,0.179,50,32.05,0.17,205,33,3280,876,85,7.95,1.92,1.92,1.6,0.362,78,78,32,1.095,1.095,1.1,677,3,103
21,0.34,26,50,0.499,124,49.7,3000,1650,1000,1.65,0.63,0.63,0.62,0.58,1260,1260,610,1.46,1.48,1.42,471,3,92
15,0.325,500,25,0.3,100,20.4,350,350,30,11.07,20,20,45,0.773,500,500,25,1.16,1.16,1.01,1600,3,406
18.5,0.769,288,28.8,0.333,110,21,820,800,100,8,10,10,25,0.69,250,250,50,1.1,1.1,1.01,1530,3,738
