,h,POROSITY,K,k/uob,Sw,T,API,PI,Bp,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,1,2,3,4,REC
0,0.32767786324603676,-0.06981945463538991,-0.3376708212835195,-0.3060321743096496,0.6767114190971564,-0.24210022702425466,0.42057639761583504,0.7139695672782421,-0.2534903543209098,-0.12448943319510734,-0.15987252992217382,-0.12268020043819415,-0.11445875712591362,-0.14136713771982698,0.2518175692435253,1.0466295796925054,1.0576979989564994,1.458469283891287,-0.0417749398694909,2.0740315369306845,1.1462263489802322,-0.773971307709552,1,0,0,0,100
1,-0.6513718011030638,-0.07474445021021761,-0.3360216239814088,-0.30762696818280083,0.20635332364121295,-0.6547099321219048,0.1477090492171413,-0.7022330560455436,-0.41537207399110454,-0.2347170210356344,-0.12807023088425304,-0.10641421759989987,-0.09897741877437075,-0.123237256494497,0.7010853775425038,-0.6667118874224803,-0.6479185795996741,-0.4835367009079729,-0.0898572688524827,1.7353049514518442,-0.24960462808041764,-0.8637185004822427,1,0,0,0,59
2,0.36751711713613244,-0.07459743541693918,-0.33824804033925826,-0.3092993065560409,-1.2047209627266178,-0.5940320343134268,-0.19878917097167625,-0.6404030038837983,-0.10977903175655335,-0.2541232865005159,0.12792949120552918,-0.10207662217635476,-0.09287210224136792,-0.125796769138073,0.7959618091087478,-0.09614615893025377,-0.0799253427868217,-0.498876400629926,-0.07613106345024351,1.3051759540183965,-0.2167185579402456,-0.7932028490179858,1,0,0,0,72
3,-0.3695090798306371,-0.07408288364046463,-0.33132141167039325,-0.26963244385984597,-0.734362867270674,-0.011524215352038417,0.537519546929561,0.32650124039797146,0.29079563171306105,-0.1570919591761083,-0.09380808551190745,-0.1274515554040938,-0.1183836034685583,-0.14072725955893298,-0.2783742542148968,2.8553393818292467,2.8582529283344176,0.7896583760141327,0.008662773472464998,2.219200073564473,0.810057631991803,-1.188517864802457,1,0,0,0,38
4,-0.0009959813472523347,-0.07437691322702152,-0.3386603396647859,-0.3084902209264372,1.1470695145531005,-0.08433769272221196,0.1910213267407435,0.9359688974208897,0.12561020347816854,-0.011544968189496883,-0.15460143063412063,-0.1205114027264216,-0.11293242799266293,-0.138807625076251,-0.11931670717737022,1.0120996652880767,1.0233237684865573,1.2805287671166312,-0.046404488437110036,1.7890710761310251,1.0292980995929526,-1.1821073510329791,1,0,0,0,35
5,-0.19023243732520667,-0.0712896025681743,-0.32893007558233267,-0.2969195551889121,-0.38629787663327597,-0.39986276132629733,0.2343336042643457,0.366543559893197,-0.2587212262150148,-0.21531075557075288,-0.11524388928332366,-0.11574004776052194,-0.10922562866905405,-0.132195550747013,0.15694113767728124,-0.11752182022823345,-0.10120462831583346,-0.03868540897133363,-0.07580618284900707,1.8428372008102063,0.1706062681551184,-0.45558245715881573,1,0,0,0,202
6,1.204141448828141,-0.07944892359512766,-0.3223332863738898,-0.29785065937012617,-0.07586153363235293,-0.7032522503686871,-0.17713303220987517,-0.5137986113621293,-0.05058758663905018,-0.17649822464098983,-0.11823084554655379,-0.10923365462520424,-0.10006765386954981,-0.146699455727277,0.5559802469117776,0.20804594415637997,0.22289525897219184,0.02267338991647869,-0.07044565292860595,1.3320590163579868,0.07925607332130573,-0.485498188083046,1,0,0,0,83
7,0.008963832125271578,-0.07290676529423713,-0.33074419261465443,-0.30732420252436554,0.15931751409561853,-0.8124724664239474,-0.24210144849527845,-0.46669000019127577,-0.5337549642261109,-0.2347170210356344,-0.16584644244863408,-0.07106281489800699,-0.07128544735682224,-0.14467317488444598,0.8266571252037092,-0.7851001653805215,-0.7657730840680469,-0.43444966179772304,-0.0939994965182472,1.2514098293392153,-0.28979871380729544,-0.5496033257778251,1,0,0,0,42
8,-0.6145204912547253,-0.06695266616646037,-0.02696204956585994,-0.009815605051057233,-0.226376124178255,0.5345768649242632,0.2343336042643457,-0.3901385070386387,-0.3570065560147758,-0.2347170210356344,-0.10944568006646517,-0.11053493325226776,-0.10573687636448102,-0.132195550747013,-0.3788316523438611,-0.6420476628478884,-0.6233655578354298,-0.5295558000738322,-0.08555260088609999,1.8428372008102063,-0.09248229296626093,0.24957405748375458,1,0,0,0,179
9,-0.010955794819776246,-0.07717019429931185,-0.3106239855289037,-0.245577113608013,1.7114992291002327,-0.290642545271037,-0.17713303220987517,0.06328187548082705,0.007227313243162211,0.017564430007825402,-0.16303518949500573,-0.12376459929408046,-0.11467680414494945,-0.141793723160423,0.18763645377224253,0.027174963942705854,0.0428397660344,0.642397258683383,-0.06411048120449554,1.3320590163579868,0.6273572423241793,-1.3210018160383339,1,0,0,0,45
