h,POROSITY,K,k/uob,Sw,T,API,PI,Bo,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,OO/Pcsic,REC
30.0,0.231,150.00,535.71,0.390,216.0,38.6,4050.0,4050.0,1000.0,4.05,0.28,0.28,0.53,0.295,810.0,810.0,200.0,1.414,1.414,1.120,854,756.38,208
23.0,0.230,375.00,1209.68,0.310,173.0,42.2,2557.0,2557.0,800.0,3.20,0.31,0.31,0.44,0.389,618.0,618.0,190.0,1.337,1.337,1.150,925,924.87,277
22.0,0.264,610.00,2259.26,0.250,178.0,41.7,2650.0,2650.0,600.0,4.42,0.27,0.27,0.51,0.375,625.0,625.0,105.0,1.368,1.368,1.138,978,978.26,289
26.0,0.226,100.00,322.58,0.320,181.0,42.3,2767.0,2767.0,6000.0,4.61,0.31,0.31,0.47,0.366,632.0,632.0,103.0,1.359,1.359,1.120,1025,1024.81,226
12.0,0.265,535.00,1725.81,0.298,180.0,42.7,2725.0,2725.0,1600.0,1.70,0.31,0.31,0.44,0.369,600.0,600.0,292.0,1.388,1.388,1.248,925,886.76,231
18.0,0.200,170.00,607.14,0.298,180.0,42.3,2644.0,2644.0,800.0,3.31,0.28,0.28,0.49,0.369,682.0,682.0,682.0,1.362,1.362,1.157,1060,1059.63,254
13.2,0.206,123.00,512.50,0.300,191.0,42.3,3010.0,3010.0,500.0,6.02,0.24,0.24,0.46,0.347,850.0,850.0,128.0,1.458,1.458,1.142,757,744.94,168
30.0,0.210,15.00,5.00,0.195,125.0,25.0,1780.0,1780.0,1000.0,1.78,3.00,3.00,3.00,0.583,305.0,305.0,305.0,1.133,1.133,1.133,1135,1135.49,361
376.0,0.176,30.00,75.00,0.350,220.0,34.0,4000.0,3600.0,1900.0,1.89,0.37,0.40,0.51,0.286,990.0,990.0,480.0,1.380,1.330,1.185,779,761.85,180
21.0,0.670,216.00,308.57,0.208,133.0,40.0,1529.0,1308.0,100.0,13.08,0.66,0.70,3.11,0.590,467.0,467.0,100.0,1.336,1.380,1.154,810,831.21,148
7.0,0.165,75.00,178.57,0.230,181.0,45.0,7566.0,6635.0,1000.0,6.64,0.50,0.42,0.97,0.362,2385.0,2385.0,380.0,2.010,1.336,1.340,498,481.93,69
75.0,0.174,15.30,85.00,0.235,185.0,43.0,7565.0,5780.0,1000.0,5.78,0.21,0.18,0.73,0.350,3000.0,3000.0,340.0,2.530,2.010,1.280,386,372.34,65
31.0,0.178,44.80,11.20,0.300,122.0,30.0,1600.0,1600.0,200.0,8.00,4.00,4.00,13.00,0.692,270.0,270.0,80.0,1.140,2.530,1.010,829,828.88,79
55.0,0.191,57.00,71.25,0.300,110.0,39.0,1500.0,1500.0,500.0,3.00,0.80,0.80,2.40,0.755,480.0,480.0,80.0,1.245,1.140,1.010,798,776.42,112
