h,POROSITY,K,SORT(k/POR),kUwi/Uoi,Sw,T,API,PI,Bp,Pep,PVPa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,BoJ,Bob,Boa,OOIP,REC,OOIPCALC
112.0000,0.1540,66.0000,20.7000,135.7400,0.4000,230.0000,30.0000,4080.0000,4015.0000,1000.0000,4.0800,0.5300,0.5300,1.0900,0.2570,735.0000,735.0000,160.0000,1.4130,1.4130,1.1280,508.0000,189.0000,507.3170
16.0000,0.3100,474.0000,39.1000,484.3800,0.3300,180.0000,35.8000,2890.0000,887.0000,800.0000,4.4800,1.3700,1.3500,1.4000,0.3570,210.0000,210.0000,145.0000,1.1500,1.1500,1.1500,1401.0000,475.0000,1401.1820
98.0000,0.3200,300.0000,30.6200,342.6600,0.3000,206.0000,38.6000,4915.0000,4860.0000,4200.0000,1.1700,0.2800,0.2600,0.3200,0.3690,1194.0000,1194.0000,1080.0000,1.6230,1.6230,1.5300,1071.0000,493.0000,1070.7280
27.0000,0.2000,190.0000,30.8200,197.6000,0.2600,165.0000,39.3000,3283.0000,2800.0000,2350.0000,1.3900,0.5000,1.4800,0.5200,0.5190,701.0000,701.0000,566.0000,1.3500,1.3500,1.3000,828.0000,530.0000,827.5200
85.0000,0.3000,2000.0000,81.6500,2461.5400,0.1620,190.0000,34.1000,4309.0000,3020.0000,2500.0000,1.7200,0.6500,0.6000,0.8000,0.4290,825.0000,825.0000,525.0000,1.9500,1.9500,1.2500,1445.0000,840.0000,1444.7120
79.0000,0.2500,395.0000,39.7500,556.0900,0.2500,128.0000,27.3000,1750.0000,1750.0000,300.0000,5.8300,1.7900,1.7900,2.5200,0.6340,400.0000,400.0000,300.0000,1.2160,1.2160,1.0500,1198.0000,530.0000,1196.2380
14.5000,0.1640,390.0000,48.7700,342.8600,0.3060,208.0000,45.0000,3425.0000,1110.0000,220.0000,15.5700,0.9100,0.7300,0.8000,0.4310,288.0000,288.0000,130.0000,1.2480,1.2480,1.1400,708.0000,260.0000,707.5200
8.4000,0.3240,2360.0000,85.3500,2231.2700,0.2500,134.0000,27.1000,2585.0000,1000.0000,2000.0000,1.2900,4.9500,4.1800,4.0800,0.8840,640.0000,640.0000,840.0000,1.0600,1.0600,1.0700,1398.0000,650.0000,1778.4850
11.0000,0.3400,400.0000,34.3000,426.5700,0.2500,169.0000,29.0000,2750.0000,2750.0000,2600.0000,1.0600,1.4000,1.4000,1.5000,0.4820,4500.0000,4500.0000,420.0000,1.1900,1.1900,1.0500,1858.0000,950.0000,1682.4290
31.0000,0.2990,434.0000,38.1000,453.7300,0.2300,173.0000,36.0000,3485.0000,3485.0000,2800.9000,1.2400,0.4400,0.4400,0.4600,0.4050,750.0000,750.0000,850.0000,1.3700,1.3700,1.3000,1045.0000,811.0000,1309.7400
