h,POROSITY,K,SORT(k/POR),kUwi/Uoi,Sw,T,API,PI,Bp,Pep,PVPa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,BoJ,Bob,Boa,OOIP,REC,OOIPCALC
81.0000,0.1550,100.0000,25.3800,100.0000,0.1000,85.0000,24.0000,1030.0000,50.0000,1030.0000,1.0000,35.0000,35.0000,35.0000,0.8940,15.0000,15.0000,15.0000,1.0150,1.0150,1.0150,1070.0000,584.0000,1087.6130
20.7000,0.1690,297.0000,41.9200,297.0000,0.1310,100.0000,33.7000,1616.0000,45.0000,100.0000,18.1600,3.8000,3.8000,3.6000,0.7520,2.0000,2.0000,2.0000,1.0200,1.0200,1.0200,1114.0000,461.0000,1117.0070
180.0000,0.1500,106.0000,28.5800,104.1100,0.1000,125.0000,25.0000,1121.0000,292.0000,5000.0000,1.1200,11.2000,11.2000,11.0000,0.5770,51.0000,51.0000,51.0000,1.0480,1.0480,1.0500,1000.0000,335.0000,999281.0000
73.0000,0.2480,638.0000,50.7200,6313.0000,0.2500,81.0000,14.0000,210.0000,50.0000,200.0000,1.0500,900.0000,900.0000,900.0000,0.9420,30.0000,30.0000,30.0000,1.0100,1.0100,1.0100,1449.0000,115.0000,1428.7010
38.0000,0.2000,195.0000,31.2200,18720.0000,0.2600,150.0000,35.0000,1862.0000,810.0000,500.0000,9.3200,2.5000,2.5000,2.4000,0.4660,180.0000,180.0000,130.0000,1.1300,1.1300,1.1200,1012.0000,497.0000,1018.0920
33.0000,0.1000,114.0000,24.4900,161.5000,0.2800,140.0000,34.0000,1300.0000,1300.0000,800.0000,2.1700,1.2000,1.2000,1.7000,0.5030,480.0000,480.0000,220.0000,1.2500,1.2500,1.1400,857.0000,300.0000,872.6200
35.0000,0.2300,410.0000,42.2200,518.6700,0.2700,134.0000,27.0000,2486.0000,100.0000,500.0000,4.9700,8.3000,8.3000,10.5000,0.5430,50.0000,50.0000,50.0000,1.0500,1.0500,1.0550,930.0000,298.0000,1240.5410
112.0000,0.1350,85.0000,25.0900,85.0000,0.1000,146.0000,21.6000,3124.0000,0.0000,500.0000,8.2500,26.0000,26.0000,26.0000,0.4740,0.0000,0.0000,0.0000,1.0400,1.0400,1.0400,905.0000,401.0000,906.3430
91.0000,0.1270,90.0000,20.6200,78.0000,0.2000,175.0000,27.0000,2230.0000,44.0000,800.0000,3.7200,8.0000,8.0000,5.2000,6.3790,0.0000,0.0000,0.0000,1.0500,1.0500,1.0400,750.0000,400.0000,750.8700
90.0000,0.2000,400.0000,44.7200,320.4100,0.1700,85.0000,35.0000,1267.0000,84.0000,500.0000,2.5300,3.4000,3.4000,2.8000,0.8940,4.0000,4.0000,4.0000,0.9900,0.9900,1.0030,1595.0000,904.0000,1300.8360
8.0000,0.2980,106.0000,25.6500,183.7500,0.5000,152.0000,33.0000,2636.0000,1500.0000,1900.0000,1.3900,1.6000,1.6000,1.5000,0.4640,285.0000,285.0000,285.0000,1.1500,1.1500,1.1550,1007.0000,696.0000,1005.1670
15.0000,0.2820,562.0000,44.6400,728.0500,0.3070,208.0000,35.0000,4889.0000,4889.0000,3500.0000,1.4000,0.4400,0.4400,0.5700,0.3540,1000.0000,1000.0000,670.0000,1.1510,1.1510,1.3510,1000.0000,598.0000,1000.7360
7.0000,0.2740,236.0000,29.3500,25570.0000,0.4050,183.0000,49.0000,3775.0000,795.1000,3200.0000,1.1800,0.1600,0.1600,0.1600,0.4180,1960.0000,1960.0000,1080.0000,2.1960,2.1960,2.2040,535.0000,219.0000,532.3010
17.0000,0.2200,326.0000,38.4900,289.7800,0.2000,226.0000,40.5000,5896.0000,2000.0000,2700.0000,2.1800,0.4500,0.4500,0.4000,0.3030,575.0000,575.0000,575.0000,1.3500,1.3500,1.4000,1015.0000,334.0000,1011.4130
13.3000,0.3500,1900.0000,73.6800,2137.5000,0.2800,182.0000,40.4000,2205.0000,2174.0000,1785.0000,1.2400,0.4800,0.4800,0.5400,0.4050,459.0000,459.0000,388.0000,1.2460,1.2460,1.2100,1607.0000,314.0000,1812.6180
12.2000,0.3520,2800.0000,94.4500,2853.7000,0.2000,160.0000,36.4000,2981.0000,2380.0000,2700.0000,1.1000,0.6400,0.6400,0.8300,0.4940,720.0000,720.0000,720.0000,1.3400,1.3400,1.3400,1439.0000,783.0000,1505.2640
94.0000,0.2420,191.0000,28.0900,238.7500,0.2780,182.0000,35.0000,2055.0000,2055.0000,1800.0000,1.8400,0.4400,0.4400,0.5500,0.4270,870.0000,870.0000,540.0000,1.4400,1.4400,1.2720,940.0000,224.0000,941.3260
11.8000,0.2340,3814.0000,125.3000,0.0000,0.3000,113.0000,42.0000,2095.0000,5340.0000,800.0000,2.8200,0.6500,0.6500,0.0000,0.7790,344.0000,0.0000,0.0000,1.2180,1.2180,0.0000,1034.0000,517.0000,1043.3170
41.0000,0.1800,180.0000,31.6200,167.5900,0.3200,262.0000,48.0000,8800.0000,1849.0000,8000.0000,1.1300,0.2900,0.2900,0.2700,0.3720,942.0000,942.0000,942.0000,1.7150,1.7150,1.7300,714.0000,400.0000,553.6900
17.0000,0.2050,256.0000,35.3400,258.0000,0.1500,228.0000,37.0000,3793.0000,3070.0000,3100.0000,1.2200,0.5000,0.5000,0.5000,0.3550,900.0000,900.0000,650.0000,1.5400,1.5400,1.4300,878.0000,478.0000,877.8120
39.0000,0.2520,20913.6600,91.2400,2008.0000,0.1410,148.0000,39.0000,1620.0000,740.0000,1000.0000,1.8200,1.0000,1.0000,1.0000,0.5230,1.0000,1.0000,1.0000,1.2800,1.2800,1.2700,1332.0000,1081.0000,1465.3410
227.0000,0.3200,580.0000,42.5700,641.7000,0.1400,200.0000,29.0000,5265.0000,5150.0000,4500.0000,1.1700,0.4700,0.4700,0.5200,0.4030,915.0000,915.0000,747.0000,1.4570,1.4570,1.4080,1485.0000,882.0000,1465.3410
30.0000,0.2900,500.0000,41.5200,978.7200,0.2200,1130.0000,32.0000,4750.0000,4750.0000,1700.0000,2.7900,0.4700,0.4700,0.9200,0.3670,777.0000,777.0000,290.0000,1.4300,1.4300,1.2000,1225.0000,762.0000,1227.1750
62.0000,0.1580,140.0000,29.9600,120.2400,0.3900,124.0000,27.4000,2082.0000,560.0000,1100.0000,1.8950,8.5000,6.6000,7.3000,0.6120,0.0000,73.0000,0.0000,1.0840,1.0750,1.0720,694.0000,271.0000,693.8450
250.0000,0.2400,900.0000,61.2400,0.0000,0.3500,155.0000,36.0000,1511.1000,0.0000,100.0000,15.6000,1.1500,0.0000,0.0000,0.4540,600.0000,600.0000,0.0000,1.3500,0.0000,0.0000,977.0000,448.0000,896.4800
